States,Population,Male,Female,Under 18,20 to 24,25 to 34,35 to 49,50 to 64,65 and Over
Alabama,4779736,2320188,2459548,1132459,335322,608922,965870,935518,657792
Alaska,710231,369628,340603,187378,54419,103125,147700,142209,54938
Arizona,6392017,3175823,3216194,1629014,442584,856693,1249516,1141752,881831
Arkansas,2915918,1431637,1484281,711475,199650,375892,571752,552713,419981
California,37253956,18517830,18736126,9295040,2765949,5317877,7872529,6599045,4246514
Colorado,5029196,2520662,2508534,1225609,348615,726278,1071279,968707,549625
Connecticut,3574097,1739614,1834483,817015,227898,420377,775710,727777,506559
Delaware,897934,434939,462995,205765,62867,111417,183643,176927,129277
District of Columbia,601723,284222,317501,100815,64110,124745,119198,101141,68809
Florida,18801310,9189355,9611955,4002091,1228758,2289545,3832456,3677959,3259602
Georgia,9687653,4729171,4958482,2491552,680080,1335560,2120201,1738148,1032035
Hawaii,1360301,681243,679058,303818,95829,185333,272160,273540,195138
Idaho,1567582,785324,782258,429072,108209,208965,295169,285290,194668
Illinois,12830632,6292276,6538356,3129179,878964,1775957,2665984,2403992,1609213
Indiana,6483802,3189737,3294065,1608298,452026,827345,1314776,1241965,841108
Iowa,3046355,1508319,1538036,727993,213350,382583,581030,595994,452888
Kansas,2853118,1415408,1437710,726939,204454,377720,548503,535681,376116
Kentucky,4339367,2134952,2204415,1023371,289968,566216,900304,858448,578227
Louisiana,4533372,2219292,2314080,1118015,338309,628433,889645,864891,557857
Maine,1328361,650056,678305,274533,79646,144624,278995,303057,211080
Maryland,5773552,2791762,2981790,1352964,393698,762042,1257157,1136387,707642
Massachusetts,6547629,3166628,3381001,1418923,475668,845141,1402583,1300370,902724
Michigan,9883640,4848114,5035526,2344068,669072,1164149,2022555,2017449,1361530
Minnesota,5303925,2632132,2671793,1284063,355651,715586,1087297,1031059,683121
Mississippi,2967297,1441240,1526057,755555,210894,387253,583316,555932,380407
Missouri,5988927,2933477,3055450,1425436,413289,775467,1193382,1167084,838294
Montana,989415,496667,492748,223563,67138,122864,183966,217669,146742
Nebraska,1826341,906296,920045,459221,129276,245176,349329,343411,246677
Nevada,2700551,1363616,1336935,665008,177509,387286,576833,498236,324359
New Hampshire,1316470,649394,667076,287234,84546,144472,292742,290640,178268
New Jersey,8791894,4279600,4512294,2065214,6726680,1109801,1942813,1720845,1185993
New Mexico,2059179,1017421,1041758,518672,142370,267245,393362,404106,272255
New York,19378102,9377147,10000955,4324929,1410935,2659337,4068780,3723596,2617943
North Carolina,9535483,4645492,4889991,2281635,661573,1246593,2025904,1808654,1234079
North Dakota,672591,339864,332727,149871,58956,90485,121642,132096,97477
Ohio,11536504,5632156,5904348,2730751,763116,1409959,2334965,2339323,1622015
Oklahoma,3751351,1856977,1894374,929666,269242,506755,722179,704851,506714
Oregon,3831074,1896002,1935072,866453,253048,524144,762404,785762,533533
Pennsylvania,12702379,6190363,6512016,2792155,874146,1511119,2571432,2606985,1959307
Rhode Island,1052567,508400,544167,223956,82167,126962,218160,211639,151881
South Carolina,4625364,2250101,2375263,1080474,332494,592056,934058,910457,631874
South Dakota,814180,407381,406799,202797,57596,105429,150631,157203,116581
Tennessee,6346105,3093504,3252601,1496001,426244,823997,1321217,1245064,853462
Texas,25145561,12472280,12673281,6865824,1817079,3613473,5218849,4272560,2601886
Utah,2763885,1388317,1375568,871027,226519,445687,487306,392374,249462
Vermont,625741,308206,317535,129233,43851,69622,128469,142466,91078
Virginia,8001024,3925983,4075041,1853677,572091,1090419,1730083,1547809,976937
Washington,6724540,3349707,3374833,1581354,461512,933781,1401214,1330461,827677
West Virginia,1852994,913586,939408,387418,117204,220698,370418,408057,297404
Wisconsin,5686986,2822400,2864586,1339492,386552,721694,1163293,1135937,777314
Wyoming,563626,287437,276189,135402,40318,77649,106438,117618,70090
